chain_id,chain_name,display_name
1,MAINNET,Ethereum
10,OPTIMISM,OP Mainnet
42,KOVAN,Kovan
100,GNOSIS,Gnosis
130,UNICHAIN,Unichain
137,MATIC,Polygon
146,SONIC,Sonic
185,MINT,Mint
250,FANTOM,Fantom
252,FRAX,Fraxtal
254,SWAN,Swan Chain
255,KROMA,Kroma
291,ORDERLY,Orderly
324,ZKSYNC_ERA,ZkSync Era
360,SHAPE,Shape
424,PGN,PGN
480,WORLDCHAIN,World Chain
690,REDSTONE,Redstone
957,LYRA,Derive (Lyra)
1088,METIS,Metis
1135,LISK,Lisk
1329,SEI,Sei
1750,METAL,Metal
1868,SONEIUM,Soneium
1923,SWELL,Swell
5112,HAM,Ham
6805,RACE,Race
7560,CYBER,Cyber
7897,ARENAZ,ArenaZ
8008,POLYNOMIAL,Polynomial
8453,BASE,Base
34443,MODE,Mode
42161,ARBITRUM_ONE,Arbitrum One
42170,ARBITRUM_NOVA,Arbitrum Nova
42220,CELO,Celo
43114,AVALANCHE,Avalanche
57073,INK,Ink
59144,LINEA,Linea
60808,BOB,BOB
65536,AUTOMATA,Automata
534352,SCROLL,Scroll
2702128,XTERIO,Xterio
7777777,ZORA,Zora